"spike_level_mg_GAE_100g","operator","day","analytical_replicate","recovery_percent"
25,"Operator A",1,1,99.1314910895935
50,"Operator A",1,1,99.2496858941078
100,"Operator A",1,1,101.164120579917
25,"Operator B",1,1,99.7722610129398
50,"Operator B",1,1,97.815148964946
100,"Operator B",1,1,100.563149064835
25,"Operator C",1,1,100.233388956832
50,"Operator C",1,1,99.9609048729016
100,"Operator C",1,1,99.7941312685815
25,"Operator A",2,1,98.1584064961616
50,"Operator A",2,1,99.0316975514043
100,"Operator A",2,1,100.170521740246
25,"Operator B",2,1,98.3756481485435
50,"Operator B",2,1,100.333584934145
100,"Operator B",2,1,98.0980842601963
25,"Operator C",2,1,98.3473193208828
50,"Operator C",2,1,99.6288590317653
100,"Operator C",2,1,99.2307872298066
25,"Operator A",3,1,98.8331476509232
50,"Operator A",3,1,98.0440234376072
100,"Operator A",3,1,100.997504781645
25,"Operator B",3,1,101.452253854924
50,"Operator B",3,1,99.8424652807898
100,"Operator B",3,1,98.4698895078589
25,"Operator C",3,1,99.140786411421
50,"Operator C",3,1,100.121415266032
100,"Operator C",3,1,98.164666762216
25,"Operator A",1,2,99.7592251847801
50,"Operator A",1,2,98.6990188467447
100,"Operator A",1,2,101.228898809446
25,"Operator B",1,2,98.5187235310605
50,"Operator B",1,2,96.5366681577974
100,"Operator B",1,2,99.3459854020293
25,"Operator C",1,2,99.5072938710526
50,"Operator C",1,2,100.123193734063
100,"Operator C",1,2,100.051420478152
25,"Operator A",2,2,98.3754995646041
50,"Operator A",2,2,98.4210767890595
100,"Operator A",2,2,100.015875471602
25,"Operator B",2,2,99.7590796227149
50,"Operator B",2,2,99.7931127362732
100,"Operator B",2,2,100.180725357398
25,"Operator C",2,2,102.530978571734
50,"Operator C",2,2,98.9286439175485
100,"Operator C",2,2,100.816940633797
25,"Operator A",3,2,98.7114914863231
50,"Operator A",3,2,98.5904188127028
100,"Operator A",3,2,98.6264662520649
25,"Operator B",3,2,100.608689615742
50,"Operator B",3,2,98.9719868710916
100,"Operator B",3,2,97.9787021261662
25,"Operator C",3,2,101.520584920738
50,"Operator C",3,2,99.234469032289
100,"Operator C",3,2,97.0677751018051
25,"Operator A",1,3,96.4424860208668
50,"Operator A",1,3,101.788051282625
100,"Operator A",1,3,98.6264389300074
25,"Operator B",1,3,97.8222621540805
50,"Operator B",1,3,100.308568666951
100,"Operator B",1,3,101.600821759866
25,"Operator C",1,3,99.4483786147963
50,"Operator C",1,3,99.9606177102414
100,"Operator C",1,3,101.008294599702
25,"Operator A",2,3,101.108402852845
50,"Operator A",2,3,99.0312103719938
100,"Operator A",2,3,99.9513884291064
25,"Operator B",2,3,99.6140649884792
50,"Operator B",2,3,99.9760733226123
100,"Operator B",2,3,99.5820790384946
25,"Operator C",2,3,96.7353875243399
50,"Operator C",2,3,99.1742175603837
100,"Operator C",2,3,102.741043543921
25,"Operator A",3,3,98.5908477186992
50,"Operator A",3,3,98.6532355311943
100,"Operator A",3,3,98.95542016592
25,"Operator B",3,3,98.7261454112956
50,"Operator B",3,3,98.9402063045551
100,"Operator B",3,3,101.312782757629
25,"Operator C",3,3,101.29264163699
50,"Operator C",3,3,102.336981680161
100,"Operator C",3,3,101.249875157261
